Minutes,Players
2,"Rudy,Michael"
3,"Goss,Collin"
1,"Jones,Marvin"
1,"Avery,Jalen"
1,"Benzan,Pat"
2,"Tuohy Jr.,Sean"
2,"Cohen III,Sandy"
3,"Musters,Nathaniel"
1,"Eifert,Grady"
1,"Toyra,Stephen"
4,"McVeigh,Jack"
2,"Perez,Ben"
1,"Edwards,Blake"
1,"Odum,Karlos"
1,"Maston,Terry"
3,"Gonzalez,Stefan"
1,"McCrea,Maljhum"
1,"Austin,Courtney"
1,"McGloin,Phillip"
2,"Phillips,Develle"
2,"Hanel,Joe"
2,"Farrell,Patrick"
2,"Reese,Nick"
2,"Doby,Khary"
9,"Sanders,John"
2,"Whitfield,Dwain"
6,"Williams,Kyle"
1,"Hortum,Ugur"
1,"McElroy,Codey"
1,"Carter,Simeon"
3,"Cox,Austin"
1,"Peebles-Jennings,Justin"
1,"Dalton,Spenser"
2,"Felder,Isaiah"
2,"Baxter,Jason"
1,"Jordan,Brandon"
4,"Welcome,Ta'Jon"
2,"Walker,Bailey"
3,"Diallo,Cheick"
2,"Manning,Evan"
1,"Smith,Joseff"
1,"Joseph,Max"
